Periodo,Ahuyama_per_merca,Cebolla junca_per_merca,Habichuela_per_merca,Tomate chonto_per_merca
2016-01-02,1333.0,1400.0,1075.0,2217.0
2016-01-09,1167.0,1244.0,1927.0,2844.0
2016-01-16,1183.0,1344.0,2975.0,3371.0
2016-01-23,1117.0,1233.0,2415.0,1900.0
2016-01-30,967.0,1156.0,2833.0,1738.0
2016-02-06,933.0,1011.0,2455.0,1525.0
2016-02-13,883.0,844.0,2923.0,1192.0
2016-02-20,867.0,928.0,2885.0,958.0
2016-02-27,842.0,914.0,3732.0,933.0
2016-03-05,850.0,856.0,4105.0,967.0
2016-03-12,867.0,839.0,2770.0,994.0
2016-03-19,867.0,844.0,2000.0,1000.0
2016-03-26,917.0,1089.0,1107.0,917.0
2016-04-02,867.0,1017.0,1840.0,1238.0
2016-04-09,892.0,978.0,1657.0,1342.0
2016-04-16,950.0,1100.0,965.0,1656.0
2016-04-23,967.0,1128.0,850.0,1017.0
2016-04-30,933.0,1222.0,1040.0,1842.0
2016-05-07,933.0,1244.0,1349.0,2067.0
2016-05-14,975.0,1728.0,1408.0,1742.0
2016-05-21,983.0,1711.0,1300.0,1183.0
2016-05-28,933.0,1793.0,1520.0,1411.0
2016-06-04,933.0,1881.0,1513.0,2744.0
2016-06-11,913.0,1911.0,1467.0,2075.0
2016-06-18,913.0,2194.0,1260.0,2375.0
2016-06-25,877.5,2212.0,1050.0,2809.5
2016-07-02,842.0,2230.0,840.0,3244.0
2016-07-09,858.0,2061.0,1162.0,2775.0
2016-07-16,856.0,1889.0,1287.0,2022.0
2016-07-23,815.0,1333.0,785.0,1900.0
2016-07-30,767.0,1411.0,1238.0,2367.0
2016-08-06,783.0,1344.0,1275.0,1417.0
2016-08-13,800.0,1333.0,1207.0,1094.0
2016-08-20,733.0,1339.0,995.0,917.0
2016-08-27,700.0,1289.0,1010.0,1083.0
2016-09-03,700.0,1122.0,1735.0,1208.0
2016-09-10,725.0,883.0,1235.0,1083.0
2016-09-17,667.0,667.0,1712.0,842.0
2016-09-24,633.0,533.0,1370.0,867.0
2016-10-01,567.0,644.0,1243.0,958.0
2016-10-08,567.0,522.0,1215.0,833.0
2016-10-15,533.0,533.0,2533.0,883.0
2016-10-22,592.0,489.0,1998.0,917.0
2016-10-29,600.0,533.0,1435.0,867.0
2016-11-05,600.0,452.0,1240.0,1333.0
2016-11-12,600.0,496.0,1100.0,1244.0
2016-11-19,600.0,667.0,1390.0,1325.0
2016-11-26,600.0,889.0,1590.0,1500.0
2016-12-03,700.0,859.0,2560.0,2211.0
2016-12-10,700.0,1183.0,2420.0,1992.0
2016-12-17,725.0,1256.0,2330.0,1842.0
2016-12-24,750.0,1156.0,1720.0,1950.0
2016-12-31,700.0,1083.0,1660.0,1975.0
2017-01-07,700.0,985.0,2547.0,1867.0
2017-01-14,750.0,1056.0,3000.0,2600.0
2017-01-21,700.0,1167.0,3175.0,2700.0
2017-01-28,700.0,1200.0,2705.0,2742.0
2017-02-04,700.0,1267.0,2300.0,2192.0
2017-02-11,700.0,1189.0,1210.0,1700.0
2017-02-18,700.0,1100.0,1340.0,2583.0
2017-02-25,700.0,933.0,1250.0,2725.0
2017-03-04,700.0,833.0,1890.0,3108.0
2017-03-11,700.0,706.0,1202.0,2242.0
2017-03-18,700.0,683.5,1181.0,1804.5
2017-03-25,700.0,661.0,1160.0,1367.0
2017-04-01,700.0,933.0,1470.0,1275.0
2017-04-08,700.0,756.0,1487.0,1033.0
2017-04-15,719.0,728.0,1437.0,1244.5
2017-04-22,738.0,700.0,1387.0,1456.0
2017-04-29,867.0,837.0,1413.0,2156.0
2017-05-06,1000.0,828.0,1435.0,2267.0
2017-05-13,1175.0,822.0,1560.0,1908.0
2017-05-20,1213.0,1189.0,1817.0,1800.0
2017-05-27,1350.0,1570.0,1660.0,967.0
2017-06-03,1350.0,1278.0,2185.0,1233.0
2017-06-10,1350.0,1000.0,1655.0,1350.0
2017-06-17,1317.0,1200.0,2400.0,2444.0
2017-06-24,1400.0,1422.0,2360.0,1989.0
2017-07-01,1400.0,1956.0,2389.0,1800.0
2017-07-08,1400.0,1750.0,1910.0,1342.0
2017-07-15,1400.0,1615.0,958.0,1444.0
2017-07-22,1400.0,1444.0,845.0,1642.0
2017-07-29,1400.0,1922.0,1455.0,1492.0
2017-08-05,1400.0,1415.0,1320.0,1856.0
2017-08-12,1213.0,1189.0,1180.0,1875.0
2017-08-19,1117.0,1244.0,993.0,1444.0
2017-08-26,1100.0,1061.0,1275.0,1350.0
2017-09-02,1050.0,1067.0,1385.0,1417.0
2017-09-09,1000.0,744.0,1020.0,1325.0
2017-09-16,950.0,667.0,1035.0,1133.0
2017-09-23,900.0,667.0,1075.0,1050.0
2017-09-30,900.0,667.0,1525.0,1258.0
2017-10-07,900.0,789.0,1695.0,1292.0
2017-10-14,900.0,1222.0,1487.0,1433.0
2017-10-21,900.0,744.0,760.0,1000.0
2017-10-28,950.0,894.0,1340.0,1408.0
2017-11-04,950.0,1126.0,1847.0,2211.0
2017-11-11,950.0,1044.0,1107.0,1578.0
2017-11-18,950.0,1028.0,1290.0,1492.0
2017-11-25,950.0,1267.0,2250.0,1475.0
2017-12-02,950.0,1830.0,2253.0,1456.0
2017-12-09,950.0,1267.0,1485.0,1417.0
2017-12-16,950.0,1439.0,1950.0,1333.0
2017-12-23,950.0,1393.0,2087.0,1178.0
2017-12-30,925.0,1237.0,2067.0,1533.5
2018-01-06,900.0,1081.0,2047.0,1889.0
2018-01-13,900.0,1006.0,2105.0,2058.0
2018-01-20,900.0,972.0,2090.0,2025.0
2018-01-27,900.0,1144.0,2005.0,1508.0
2018-02-03,892.0,1106.0,1360.0,1350.0
2018-02-10,867.0,1022.0,970.0,1250.0
2018-02-17,867.0,1033.0,1290.0,1425.0
2018-02-24,867.0,1028.0,2460.0,2400.0
2018-03-03,858.0,1006.0,2155.0,2842.0
2018-03-10,867.0,994.0,1350.0,1650.0
2018-03-17,867.0,911.0,1067.0,1322.0
2018-03-24,867.0,800.0,1220.0,1267.0
2018-03-31,867.0,772.0,1620.0,2283.0
2018-04-07,867.0,700.0,2450.0,2717.0
2018-04-14,867.0,611.0,2240.0,3000.0
2018-04-21,867.0,556.0,1810.0,2417.0
2018-04-28,867.0,422.0,1285.0,2192.0
2018-05-05,867.0,372.0,1665.0,2367.0
2018-05-12,867.0,348.0,1767.0,2400.0
2018-05-19,867.0,417.0,1875.0,2967.0
2018-05-26,867.0,589.0,1900.0,2817.0
2018-06-02,867.0,800.0,2393.0,3089.0
2018-06-09,867.0,881.0,1787.0,2611.0
2018-06-16,867.0,967.0,2015.0,2108.0
2018-06-23,867.0,883.0,1980.0,2300.0
2018-06-30,867.0,822.0,1667.0,2844.0
2018-07-07,867.0,894.0,1375.0,3158.0
2018-07-14,867.0,1104.0,1260.0,1633.0
2018-07-21,867.0,963.0,1192.5,1737.5
2018-07-28,867.0,822.0,1125.0,1842.0
2018-08-04,933.0,806.0,1795.0,2483.0
